desigcomercial,numbicicletas,numdocas,position,entity_ts,estado
135 - Avenida Cidade de Lourenço Marques / Vale do,7,20,"{""coordinates"":[-9.118689,38.764067],""type"":""Point""}",2022-07-27T15:53:45.206Z,active
456 - Entrecampos / Av. das Forças Armadas,18,41,"{""coordinates"":[-9.14872,38.74877],""type"":""Point""}",2022-07-27T15:53:46.819Z,active
132 - Avenida de Berlim / Rua Cidade de Cabinda,2,25,"{""coordinates"":[-9.11255,38.76829],""type"":""Point""}",2022-07-27T15:53:44.936Z,active
206 - Av. Brasília / Doca de Alcântara,10,22,"{""coordinates"":[-9.17502,38.70141],""type"":""Point""}",2022-07-27T15:53:40.553Z,active
555 - Alameda das Linhas de Torres,1,33,"{""coordinates"":[-9.160248,38.770657],""type"":""Point""}",2022-07-27T15:53:46.255Z,active
463 - Campo Grande / Av. da Igreja,4,10,"{""coordinates"":[-9.14951,38.75243],""type"":""Point""}",2022-07-27T15:53:46.296Z,active
479 - Rua Professor Oliveira Marques,4,14,"{""coordinates"":[-9.15724,38.75491],""type"":""Point""}",2022-07-27T15:53:45.316Z,active
225 - Martim Moniz,5,16,"{""coordinates"":[-9.13694,38.71526],""type"":""Point""}",2022-07-27T15:53:43.064Z,active
306 - Avenida da Liberdade / Rua Alexandre Herculano,6,16,"{""coordinates"":[-9.14854,38.72281],""type"":""Point""}",2022-07-27T15:53:41.578Z,active
461 - Rua Professora Teresa Ambrósio,9,32,"{""coordinates"":[-9.155564,38.749141],""type"":""Point""}",2022-07-27T15:53:46.054Z,active
415 - Av. Duque de Ávila / Av. Conde Valbom,6,20,"{""coordinates"":[-9.148443,38.735188],""type"":""Point""}",2022-07-27T16:13:42.081Z,active
312 - Rua Álvaro Coutinho / Avenida Almirante Reis,12,18,"{""coordinates"":[-9.134802,38.724869],""type"":""Point""}",2022-07-27T16:13:42.217Z,active
223 - Praça do Rossio,21,21,"{""coordinates"":[-9.138952,38.713112],""type"":""Point""}",2022-07-27T16:13:39.430Z,active
238 - Rua de Cascais / Alcântara Mar,0,36,"{""coordinates"":[-9.175234,38.702936],""type"":""Point""}",2022-07-27T16:13:40.315Z,repair
311 - Avenida Almirante Reis Nº14,4,11,"{""coordinates"":[-9.135295,38.721721],""type"":""Point""}",2022-07-27T16:13:40.269Z,active
103 - Jardim da Água,16,20,"{""coordinates"":[-9.095019,38.761218],""type"":""Point""}",2022-07-27T16:13:36.056Z,active
109 - Alameda dos Oceanos / Rua Ilha dos Amores,7,14,"{""coordinates"":[-9.094672,38.777589],""type"":""Point""}",2022-07-27T16:13:34.357Z,active
446 - Av. República / Interface Entrecampos ,29,40,"{""coordinates"":[-9.14773,38.74456],""type"":""Point""}",2022-07-27T16:13:37.509Z,active
151 - Rua Contra Almirante Ferraz / Escola Sec.António Damásio,2,24,"{""coordinates"":[-9.108728,38.770434],""type"":""Point""}",2022-07-27T16:13:40.910Z,active
442 - Campo Pequeno,2,16,"{""coordinates"":[-9.14523,38.743371],""type"":""Point""}",2022-07-27T16:13:40.949Z,active
218 - Cais do Sodré,7,22,"{""coordinates"":[-9.14471,38.70617],""type"":""Point""}",2022-07-27T16:13:38.265Z,active
403 - Av. Fontes Pereira de Melo,2,20,"{""coordinates"":[-9.146522,38.731698],""type"":""Point""}",2022-07-27T16:13:37.670Z,active
220 - Rua do Comercio,11,20,"{""coordinates"":[-9.137125,38.70878],""type"":""Point""}",2022-07-27T15:53:40.257Z,active
214 - Largo de Santos,20,24,"{""coordinates"":[-9.15424,38.70673],""type"":""Point""}",2022-07-27T15:53:41.201Z,active
362 - Avenida Eng. Duarte Pacheco,21,40,"{""coordinates"":[-9.159469,38.72437],""type"":""Point""}",2022-07-27T15:53:44.820Z,active
314 - Rua Marques da Silva / Rua António Pedro,4,12,"{""coordinates"":[-9.135675,38.729657],""type"":""Point""}",2022-07-27T16:13:36.421Z,active
484 - Rua Professor Vieira de Almeida,7,22,"{""coordinates"":[-9.16658,38.76081],""type"":""Point""}",2022-07-27T16:13:36.465Z,active
464 - Av. da Igreja / Rua Afonso Lopes Vieira,5,14,"{""coordinates"":[-9.148427,38.75165],""type"":""Point""}",2022-07-27T16:13:36.642Z,active
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,7,10,"{""coordinates"":[-9.136681,38.747751],""type"":""Point""}",2022-07-27T16:13:36.272Z,active
219 - Praça do Município,11,22,"{""coordinates"":[-9.13951,38.70797],""type"":""Point""}",2022-07-27T16:13:37.161Z,active
113 - Alameda dos Oceanos/ Passeio do Levante,4,14,"{""coordinates"":[-9.09825,38.78414],""type"":""Point""}",2022-07-27T16:13:44.375Z,active
410 - Rua da Mesquita / Universidade Nova de Lisboa,7,40,"{""coordinates"":[-9.16015,38.73492],""type"":""Point""}",2022-07-27T16:13:44.411Z,active
478 - Alameda da Universidade / Faculdade de Letras,9,32,"{""coordinates"":[-9.15717,38.75359],""type"":""Point""}",2022-07-27T16:13:45.247Z,active
519 - Rua Prof. Pulido Valente / Rua Prof. Mário ,5,25,"{""coordinates"":[-9.1691,38.763204],""type"":""Point""}",2022-07-27T16:13:47.700Z,active
554 - Alameda das Linhas de Torres / Rua Ladislau,2,27,"{""coordinates"":[-9.158298,38.768683],""type"":""Point""}",2022-07-27T16:13:45.496Z,active
432 - Praça de Londres,2,10,"{""coordinates"":[-9.1377,38.7407],""type"":""Point""}",2022-07-27T16:13:43.404Z,active
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,4,14,"{""coordinates"":[-9.150085,38.746836],""type"":""Point""}",2022-07-27T16:33:38.929Z,active
237 - Avenida da India / Praca das Industrias,0,30,"{""coordinates"":[-9.182262,38.699093],""type"":""Point""}",2022-07-27T16:33:34.786Z,repair
